Materiales,Unnamed: 1,Unnamed: 2,Unnamed: 3,Calculos,Unnamed: 5,Unnamed: 6,Unnamed: 7,Atiezadores,Unnamed: 9,Unnamed: 10,Unnamed: 11,Placa Base,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,L,L.1,kl/rx,kl/ry,fex,fey,fcrx,fcry,Prx,Pry,Pr,Unnamed: 30,Unnamed: 31
As,36.0,ksi,,At,37.44,m2,,Sentido b,,,,Pu,204.87167999999997,t,fc,180.0,kg/cm2,,1e-05,0.001,7.469347908637205e-05,7.469347908637205e-05,3714973277491888.5,3714973277491888.5,2529.866479268429,2529.866479268429,593.4459592408705,593.4459592408705,593.4459592408705,,
fc,210.0,kg/cm2,,Pu,241.02550588235292,t,,Num,1.0,u,,x,10,cm,fs,98.86153846153846,kg/cm2,,0.1,10.0,0.7469347908637206,0.7469347908637206,37149732.77491888,37149732.77491888,2529.7943716718096,2529.7943716718096,593.4290445292859,593.4290445292859,593.4290445292859,x,y
Datos Arq,,,,Pr,578.4161036711881,t,,l,9.0,cm,,xh,2.5,cm,As,36.0,ksi,,0.2,20.0,1.4938695817274412,1.4938695817274412,9287433.19372972,9287433.19372972,2529.5780612110493,2529.5780612110493,593.3783032866426,593.3783032866426,593.3783032866426,0,578.4161036711881
L1,5.9,m,,D/C,0.4166991623375835,,,e,0.7,cm,,Sentido b,,,Sentido h,,,,0.3,30.0,2.2408043725911617,2.2408043725911617,4127748.0861020978,4127748.0861020978,2529.2175848771326,2529.2175848771326,593.2937441901378,593.2937441901378,593.2937441901378,3,578.4161036711881
L2,5.8,m,,,,,,Ia,42.525,cm4,,Mu,921922.5599999999,kg-cm,Mu,921922.5599999999,kg-cm,,0.4,40.0,2.9877391634548824,2.9877391634548824,2321858.29843243,2321858.29843243,2528.713004308788,2528.713004308788,593.1753816987377,593.1753816987377,593.1753816987377,,
L3,6.4,m,,,,,,Imin,38.154239999999994,cm4,,Mu,,kg-cm,Mu,,kg-cm,,0.5,50.0,3.734673954318603,3.734673954318603,1485989.3109967548,1485989.3109967548,2528.06440577564,2528.06440577564,593.0232360492259,593.0232360492259,593.0232360492259,3,0
L4,6.4,m,,Datos de col,,,,OK,,,,Mu,921922.5599999999,kg-cm,Mu,921922.5599999999,kg-cm,,0.6,60.0,4.481608745182323,4.481608745182323,1031937.0215255244,1031937.0215255244,2527.2719001536248,2527.2719001536248,592.8373332504361,592.8373332504361,592.8373332504361,3,578.4161036711881
Pisos,4.0,u,,b,45.0,SISM,,Sentido h,,,,B,65,cm,H,65.0,cm,,0.7,70.0,5.228543536046044,5.228543536046044,758157.8117330384,758157.8117330384,2526.3356228934076,2526.3356228934076,592.6177050758434,592.6177050758434,592.6177050758434,,
He,3.0,m,,h,45.0,SISM,,Num,1.0,u,,q1,68.63247905325443,OK,q1,68.63247905325443,OK,,0.8,80.0,5.975478326909765,5.975478326909765,580464.5746081074,580464.5746081074,2525.255733981792,2525.255733981792,592.3643890545123,592.3643890545123,592.3643890545123,,
Cm,0.5,t/m2,,e,1.2,cm,,l,9.0,cm,,q2,28.348197869822474,kg/cm2,q2,28.348197869822474,kg/cm2,,0.9,90.0,6.722413117773486,6.722413117773486,458638.67623356637,458638.67623356637,2524.0324178961637,2524.0324178961637,592.0774284604099,592.0774284604099,592.0774284604099,,
Cv,0.48,t/m2,,K,1.2,,,e,0.7,cm,,m,12.25,cm,n,12.25,cm,,1.0,100.0,7.469347908637206,7.469347908637206,371497.3277491887,371497.3277491887,2522.665883551962,2522.665883551962,591.7568723000844,591.7568723000844,591.7568723000844,,
,,,,A,260.63999999999976,cm2,,Ia,42.525,cm4,,q3,61.04044144560764,kg/cm2,q3,61.04044144560764,kg/cm2,,1.1,110.00000000000001,8.216282699500926,8.216282699500926,307022.58491668495,307022.58491668495,2521.156364243223,2521.156364243223,591.4027752987178,591.4027752987178,591.4027752987178,,
fy,2529.8664792691497,kg/cm2,,Peso,204.60239999999982,kg/m,,Imin,38.154239999999994,cm4,,Mpl,322380.54355313606,kg-cm,Mpl,322380.54355313606,kg-cm,,1.2,120.0,8.963217490364647,8.963217490364647,257984.2553813811,257984.2553813811,2519.5041175761976,2519.5041175761976,591.0151978845536,591.0151978845536,591.0151978845536,,
Cu,1.3679999999999999,t/m2,,Ix,67272.59519999992,cm4,,OK,,,,Atiez,0,u,Atiez,0.0,u,,1.3,130.0,9.710152281228368,9.710152281228368,219820.90399360284,219820.90399360284,2517.709425396085,2517.709425396085,590.5942061717116,590.5942061717116,590.5942061717116,,
E,2100000.0,kg/cm2,,Iy,67272.59519999992,cm4,,,,,,Mpl,322380.54355313606,kg-cm,Mpl,322380.54355313606,kg-cm,,1.4,140.0,10.457087072092088,10.457087072092088,189539.4529332596,189539.4529332596,2515.7725937069035,2515.7725937069035,590.1398719413901,590.1398719413901,590.1398719413901,,
cte1,28.811166816589246,,,Sx,2989.8931199999965,cm3,,RELLENO DE HORMIGON,,,,e,34.29687559501267,mm,e,34.29687559501267,mm,,1.5,150.0,11.204021862955809,11.204021862955809,165109.9234440839,165109.9234440839,2513.693952584535,2513.693952584535,589.6522726214694,589.6522726214694,589.6522726214694,,
cte2,135.70059570613535,,,Sy,2989.8931199999965,cm3,,,,,,,,,,,,,1.6,160.0,11.95095665381953,11.95095665381953,145116.14365202686,145116.14365202686,2511.473856082973,2511.473856082973,589.1314912645189,589.1314912645189,589.1314912645189,,
Ca,0.406145668580508,,,Zx,3454.0559999999996,cm3,,NO,,,,,Dimensiones placa,,,,,,1.7,170.0,12.69789144468325,12.69789144468325,128545.78814850822,128545.78814850822,2509.1126821338166,2509.1126821338166,588.5776165242218,588.5776165242218,588.5776165242218,,
Sin hormigon,,,,Zy,3454.0559999999996,cm3,,,,,,,B,650,mm,,405,,1.8,180.0,13.444826235546971,13.444826235546971,114659.66905839159,114659.66905839159,2506.6108324390466,2506.6108324390466,587.9907426302213,587.9907426302213,587.9907426302213,,
SISM,55.99069488573971,,,rx,16.06565947493724,cm,,Ac,1764.3600000000001,cm2,,,H,650,mm,,411,,1.9,190.0,14.191761026410692,14.191761026410692,102907.84702193594,102907.84702193594,2503.9687323571256,2503.9687323571256,587.3709693614045,587.3709693614045,587.3709693614045,,
COMP,62.079906642146135,,,ry,16.06565947493724,cm,,fy,2529.8664792691497,kg/cm2,,,e,34.29687559501267,mm,,0.014598540145985401,,2.0,200.0,14.938695817274413,14.938695817274413,92874.33193729717,92874.33193729717,2501.1868307824743,2501.1868307824743,586.7184020176293,586.7184020176293,586.7184020176293,,
Con hormigon,,,,Mp-vp,118.8688992334947,t-m,,fym,3738.193136727715,kg/cm2,,,Peso,113.7498750203089,kg,,,,2.1,210.0,15.685630608138133,15.685630608138133,84239.75685922647,84239.75685922647,2498.2656000183615,2498.2656000183615,586.0331513899066,586.0331513899066,586.0331513899066,,
SISM,40.335633543224944,,,Mp-vs,118.8688992334947,t-m,,E,2100000.0,kg/cm2,,,,,,,,,2.2,220.00000000000003,16.432565399001852,16.432565399001852,76755.64622917124,76755.64622917124,2495.2055356432656,2495.2055356432656,585.3153337290541,585.3153337290541,585.3153337290541,,
COMP,65.11323700549168,,,CF - VD,,,,Em,2594408.9456667067,kg/cm2,,,,,,,,,2.3,229.99999999999997,17.17950018986557,17.17950018986557,70226.33794880698,70226.33794880698,2492.0071563707606,2492.0071563707606,584.565070712827,584.565070712827,584.565070712827,,
,,,,Mpr vizq,34.0,t-m,,Condiciones,,,,,,,,,,,2.4,240.0,17.926434980729294,17.926434980729294,64496.06384534528,64496.06384534528,2488.671003902975,2488.671003902975,583.7824894115437,583.7824894115437,583.7824894115437,,
SISM,55.99069488573971,,,Mpr vder,34.0,t-m,,As,0.128711111111111,OK,,,,,,,,,2.5,250.0,18.673369771593016,18.673369771593016,59439.57243987019,59439.57243987019,2485.1976427776895,2485.1976427776895,582.9677222522188,582.9677222522188,582.9677222522188,,
COMP,62.079906642146135,,,,,,,fc,210.0,OK,,,,,,,,,2.6,260.0,19.420304562456735,19.420304562456735,54955.22599840071,54955.22599840071,2481.587660209133,2481.587660209133,582.120906981217,582.120906981217,582.120906981217,,
,,,,∑Mp col,118.8688992334947,1.7480720475513927,,emin,1.0,OK,,,,,,,,,2.7,270.0,20.167239353320458,20.167239353320458,50959.8529148407,50959.8529148407,2477.841665922531,2477.841665922531,581.2421866254432,581.2421866254432,581.2421866254432,,
fypl,2529.8664792691497,kg/cm2,,∑Mp vig,68.0,,,,,,,,,,,,,,2.8,280.0,20.914174144184177,20.914174144184177,47384.8632333149,47384.8632333149,2473.960291982485,2473.960291982485,580.3317094520829,580.3317094520829,580.3317094520829,,
,,,,OK,,,,,,,,,,,,,,,2.9,290.0,21.6611089350479,21.6611089350479,44173.28510691899,44173.28510691899,2469.944192615241,2469.944192615241,579.3896289269122,579.3896289269122,579.3896289269122,,
,,,,,,,,,,,,,,,,,,,3.0,300.0,22.408043725911618,22.408043725911618,41277.48086102097,41277.48086102097,2465.794044024916,2465.794044024916,578.4161036711881,578.4161036711881,578.4161036711881,,
,,,,,,,,,,,,,,,,,,,3.1,310.0,23.154978516775337,23.154978516775337,38657.370213235045,38657.370213235045,2461.5105442037675,2461.5105442037675,577.4112974171425,577.4112974171425,577.4112974171425,,
,,,,,,,,,,,,,,,,,,,3.2,320.0,23.90191330763906,23.90191330763906,36279.035913006715,36279.035913006715,2457.0944127365624,2457.0944127365624,576.3753789620914,576.3753789620914,576.3753789620914,,
,,,,,,,,,,,,,,,,,,,3.3,330.0,24.64884809850278,24.64884809850278,34113.62054629833,34113.62054629833,2452.546390599137,2452.546390599137,575.3085221211826,575.3085221211826,575.3085221211826,,
,,,,,,,,,,,,,,,,,,,3.4,340.0,25.3957828893665,25.3957828893665,32136.447037127055,32136.447037127055,2447.8672399512197,2447.8672399512197,574.2109056787968,574.2109056787968,574.2109056787968,,
,,,,,,,,,,,,,,,,,,,3.5,350.0,26.14271768023022,26.14271768023022,30326.312469321536,30326.312469321536,2443.0577439235976,2443.0577439235976,573.0827133386213,573.0827133386213,573.0827133386213,,
,,,,,,,,,,,,,,,,,,,3.6,360.0,26.889652471093942,26.889652471093942,28664.917264597898,28664.917264597898,2438.1187063997145,2438.1187063997145,571.9241336724189,571.9241336724189,571.9241336724189,,
,,,,,,,,,,,,,,,,,,,3.7,370.0,27.63658726195766,27.63658726195766,27136.400858231467,27136.400858231467,2433.0509517917785,2433.0509517917785,570.7353600675077,570.7353600675077,570.7353600675077,,
,,,,,,,,,,,,,,,,,,,3.8,380.0,28.383522052821384,28.383522052821384,25726.961755483986,25726.961755483986,2427.855324811477,2427.855324811477,569.5165906729766,569.5165906729766,569.5165906729766,,
,,,,,,,,,,,,,,,,,,,3.9,390.0,29.130456843685103,29.130456843685103,24424.544888178094,24424.544888178094,2422.5326902353754,2422.5326902353754,568.2680283446529,568.2680283446529,568.2680283446529,,
,,,,,,,,,,,,,,,,,,,4.0,400.0,29.877391634548825,29.877391634548825,23218.582984324294,23218.582984324294,2417.083932665101,2417.083932665101,566.9898805888482,566.9898805888482,566.9898805888482,,
,,,,,,,,,,,,,,,,,,,4.1,409.99999999999994,30.624326425412537,30.624326425412537,22099.781543675726,22099.781543675726,2411.5099562824025,2411.5099562824025,565.6823595049003,565.6823595049003,565.6823595049003,,
,,,,,,,,,,,,,,,,,,,4.2,420.0,31.371261216276267,31.371261216276267,21059.939214806618,21059.939214806618,2405.8116845991744,2405.8116845991744,564.3456817265354,564.3456817265354,564.3456817265354,,
,,,,,,,,,,,,,,,,,,,4.3,430.0,32.118196007139986,32.118196007139986,20091.797065937735,20091.797065937735,2399.9900602025527,2399.9900602025527,562.9800683620736,562.9800683620736,562.9800683620736,,
,,,,,,,,,,,,,,,,,,,4.4,440.00000000000006,32.865130798003705,32.865130798003705,19188.91155729281,19188.91155729281,2394.0460444951727,2394.0460444951727,561.5857449334991,561.5857449334991,561.5857449334991,,
,,,,,,,,,,,,,,,,,,,4.5,450.0,33.61206558886743,33.61206558886743,18345.54704934265,18345.54704934265,2387.980617430692,2387.980617430692,560.1629413144215,560.1629413144215,560.1629413144215,,
,,,,,,,,,,,,,,,,,,,4.6,459.99999999999994,34.35900037973114,34.35900037973114,17556.584487201744,17556.584487201744,2381.794777244679,2381.794777244679,558.7118916669474,558.7118916669474,558.7118916669474,,
,,,,,,,,,,,,,,,,,,,4.7,470.0,35.10593517059487,35.10593517059487,16817.443537763185,16817.443537763185,2375.489540180976,2375.489540180976,557.232834377492,557.232834377492,557.232834377492,,
,,,,,,,,,,,,,,,,,,,4.8,480.0,35.85286996145859,35.85286996145859,16124.01596133632,16124.01596133632,2369.0659402136303,2369.0659402136303,555.726011991552,555.726011991552,555.726011991552,,
,,,,,,,,,,,,,,,,,,,4.9,490.00000000000006,36.59980475232231,36.59980475232231,15472.60840271507,15472.60840271507,2362.525028764512,2362.525028764512,554.1916711474637,554.1916711474637,554.1916711474637,,
